departamento_inferido,contratos,valor_total,valor_mediano,valor_miles_millones,%_valor
Antioquia,475,2564500985071.2197,201746159.0,2564.5,12.8
Nariño,482,2148907167643.3,201377599.5,2148.9,10.7
Cauca,465,2025836170893.33,201288242.0,2025.8,10.1
Putumayo,210,1476319925799.32,199505958.5,1476.3,7.4
Norte de Santander,387,1295424613321.51,199773990.0,1295.4,6.5
Boyacá,521,1152892438149.34,243098054.0,1152.9,5.8
Córdoba,427,978932996853.98,211000000.0,978.9,4.9
Santander,418,973334545103.11,200919311.0,973.3,4.9
Tolima,334,818927598681.66,199491154.0,818.9,4.1
Caldas,244,694356370872.3,135995230.5,694.4,3.5
Meta,297,598252130671.25,144403219.94,598.3,3.0
La Guajira,196,581778642965.61,191059183.0,581.8,2.9
Valle del Cauca,172,527394876636.5,205492949.0,527.4,2.6
Bolívar,318,457380479074.17,198815624.0,457.4,2.3
Huila,372,434903799986.76,189682096.5,434.9,2.2
Magdalena,284,322411061342.58,197842480.5,322.4,1.6
Quindío,159,317009642872.32,87000000.0,317.0,1.6
Chocó,250,312051999077.88,201873201.0,312.1,1.6
Cesar,266,306562131844.56,198802555.5,306.6,1.5
Cundinamarca,387,274639864342.93,199502616.0,274.6,1.4
Sucre,293,269240568902.62,207234501.0,269.2,1.3
Guaviare,57,255967303037.02,201922709.0,256.0,1.3
Atlántico,153,226590736493.32,130639985.0,226.6,1.1
Risaralda,198,188031823938.01,109163021.5,188.0,0.9
Caquetá,271,182492044139.16,198949395.0,182.5,0.9
Casanare,219,173315687708.83002,83564894.0,173.3,0.9
Arauca,60,157164134189.14,202259906.5,157.2,0.8
San Andrés y Providencia,19,122118958794.34,1618361920.0,122.1,0.6
Amazonas,28,70235991055.0,462047423.0,70.2,0.4
Bogotá D.C.,23,63007923224.02,124859198.24,63.0,0.3
Vaupés,14,10085492325.0,431994793.5,10.1,0.1
Guainía,13,7561501034.0,349099169.0,7.6,0.0
Vichada,17,5852435479.0,250447343.0,5.9,0.0
