id_contrato,objeto_del_contrato,departamento_inferido,asignacion_correcta,observacion
CO1.PCCNTR.7129274,INTERVENTORIA PARA LA ATENCIÓN DE LA EMERGENCIA ACAECIDA EN LA VÍA 7008; EN EL SECTOR OCAÑA - ALTO DEL POZO EN EL DEPARTAMENTO DE NORTE DE SANTANDER,Norte de Santander,,
CO1.PCCNTR.6856890,SUMINISTRO MEZCLA ASFÁLTICA RUTA 9004  VÍA LORICA-SAN ONOFRE  SECTOR COVEÑAS TOLÚ  PR30+0000 AL PR35+0000 SECTOR TOLUVIEJO-SAN ONOFRE PR65+0937 AL PR93+0683  RUTA 90SC02 COVEÑAS- SABANETA PR0+0000-PR16+0000 DIRECCION TERRITORIAL SUCRE,Sucre,,
CO1.PCCNTR.3709003,HABILITAR Y/O BRINDAR TRANSITABILIDAD EN LA RED VIAL A CARGO DEL INVIAS; A TRAVES DEL SISTEMA DE MONTO AGOTABLE; EN LAS VIAS A CARGO DE LA DIRECCION TERRITORIAL SANTANDER (PRODUCTO VIAS ATENDIDAS POR EMERGENCIA,Santander,,
CO1.PCCNTR.5354492,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCIÓN COMUNAL DE LA VEREDA QUIROZ ALTO DEL MUNICIPIO DE LA UNIÓN EN EL DEPARTAMENTO DE NARIÑO PARA EL MANTENIMIENTO Y MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Nariño,,
CO1.PCCNTR.1038819,INTERVENTORIA A LA CONSTRUCCION DEL MUELLE DE CURBARADO - MUNICIPIO DEL CARMEN DEL DARIEN - CHOCO,Chocó,,
CO1.PCCNTR.5537189,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCIÓN COMUNAL VEREDA LOS NARANJOS DEL MUNICIPIO DE NECOCLI; EN EL DEPARTAMENTO DE ANTIOQUIA; PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Antioquia,,
CO1.PCCNTR.5417816,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCIÓN COMUNAL DE LA VEREDA BETULIA; DEL MUNICIPIO ANZOATEGUI; DEPARTAMENTO DEL TOLIMA; PARA EL MANTENIMIENTO Y MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Tolima,,
CO1.PCCNTR.1481706,INTERVENTORIA TECNICA; ADMINISTRATIVA; FINANCIERA; LEGAL Y AMBIENTAL PARA EL MEJORAMIENTO DE VÍAS TERCIARIAS EN LOS MUNICIPIOS PDET EN EL DEPARTAMENTO DE NARIÑO EN EL MARCO DE LA IMPLEMENTACIÓN DEL ACUERDO FINAL PARA LA PAZ A NIVEL NACIONAL.,Nariño,,
CO1.PCCNTR.5310641,SERVICIO DE MANTENIMIENTO RUTINARIO DE LAS VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS DIRECCION TERRITORIAL HUILA.SECTORES 2402 CANDELARIA - LABERINTO; PR35+0000 (VDA. ALTO RETIRO) - PR 48+0000 (LA PLATA) / 3701 LA PLATA-VALENCIA; PR 55+0352 - PR 77+0000. LOTE 6.,Huila,,
CO1.PCCNTR.7753254,AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; JURÍDICOS; AMBIENTALES; SOCIALES; PREDIALES Y FINANCIEROS ENTRE EL INSTITUTO NACIONAL DE VIAS; Y EL DEPARTAMENTO DE BOYACÁ PARA EL MEJORAMIENTO; MANTENIMIENTO; GESTIÓN PREDIAL; SOCIAL Y AMBIENTAL SOSTENIBLE DEL CORREDOR VADO HONDO - LABRANZAGRANDE - YOPAL,Boyacá,,
CO1.PCCNTR.5010930,Prestar servicios profesionales para atender asuntos de carácter técnico de los programas; proyectos; contratos y/o convenios a cargo del INVIAS en la Dirección Territorial Guajira,La Guajira,,
CO1.PCCNTR.1236434,MANTENIMIENTO RUTINARIO VÍAS A CARGO DEL INSTITUTO NACIONAL DEL VÍAS DIRECCIÓN TERRITORIAL NORTE DE SANTANDER - PROYECTO: CONSERVACIÓN DE VÍAS A TRAVÉS DE MANTENIMIENTO RUTINARIO Y ADMINISTRACIÓN VIAL; MODULO 2; GRUPO 2: SECTOR: 7008 ALTO EL POZO - SARDINATA;  PR100+0000 - PR128+0000 (INCLUYE PASO NACIONAL POR SARDINATA) Y 70NSA VARIANTE DE SARDINATA,Norte de Santander,,
CO1.PCCNTR.5274417,PRESTAR SERVICIOS DE APOYO A LA GESTIÓN PARA ATENDER LOS PROGRAMAS; PROYECTOS; CONTRATOS Y/O CONVENIOS A CARGO DEL INVIAS EN LA DIRECCIÓN TERRITORIAL CÓRDOBA.,Córdoba,,
CO1.PCCNTR.2514918,MANTENIMIENTO RUTINARIO DE LAS VIAS A CARGO DEL INVIAS DIRECCION TERRITORIAL CAQUETA; VIA 6504 PUERTO RICO - SAN VICENTE DEL CAGUAN - SECTOR PR 0 + 0000 - PR 52+0000; DEPARTAMENTO DE CAQUETA,Caquetá,,
CO1.PCCNTR.1738040,CONSTRUCCIÓN DE OBRAS Y SEÑALIZACIÓN PARA LA SEGURIDAD VIAL EN VÍAS A CARGO DEL INVIAS EN JURISDICCIÓN DE LA DIRECCIÓN TERRITORIAL CUNDINAMARCA,Cundinamarca,,
CO1.PCCNTR.5181553,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE LA DIRECCIÓN TERRITORIAL CÓRDOBA GRUPO AMV 2. LOTE 5.,Córdoba,,
CO1.PCCNTR.1848426,INTERVENTORÍA TÉCNICA; ADMINISTRATIVA; FINANCIERA Y AMBIENTAL PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VÍAS TERCIARIAS DEL PROGRAMA COLOMBIA RURAL EN LOS MUNICIPIOS DEL DEPARTAMENTO DE CÓRDOBA.,Córdoba,,
CO1.PCCNTR.6260659,SERVICIO DE MANTENIMIENTO RUTINARIO DE LAS VIAS A CARGO DEL INSTITUTO NACIONAL DE VIA DIRECCION TERRITORIAL BOYACA SECTORES 6007 OTANCHE - CHIQUINQUIRÁ; PR62+0000 (PIEDARGORDA) - PR90+0150 (CHIQUINQUIRÁ LOTE 10.,Boyacá,,
CO1.PCCNTR.1184123,MANTENIMIENTO Y ADECUACIÓN DE INSTALACIONES LOCATIVAS CASA AUXILIAR SEDE LAS VEGAS UBICADA EN LA CALLE 44 No 55 A  29/35/41 TERRITORIAL META,Meta,,
CO1.PCCNTR.2063182,INTERVENTORÍA A LA CONSTRUCCIÓN DE LA PROLONGACIÓN DE LA PASARELA DE ACCESO AL MUELLE FLOTANTE VICTORIA REGIA; LETICIA; AMAZONAS,Amazonas,,
CO1.PCCNTR.5226097,HABILITAR Y/O BRINDAR TRANSITABILIDAD EN LA RED VIAL A CARGO DEL INVIAS; A TRAVÉS DEL SISTEMA DE MONTO AGOTABLE; EN VÍAS A CARGO DE LA DIRECCIÓN TERRITORIAL BOYACA,Boyacá,,
CO1.PCCNTR.1465923,AUNAR ESFUERZOS PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE EL GUACAMAYO; DEPARTAMENTO DE SANTANDER DEL PROGRAMA COLOMBIA RURAL,Santander,,
CO1.PCCNTR.6766322,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCIÓN COMUNAL DE EL SABALO DEL MUNICIPIO DE SAN MIGUEL; DEL DEPARTAMENTO DE PUTUMAYO PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,Putumayo,,
CO1.PCCNTR.987813,ADMINISTRACIÓN VIAL DE LAS CARRETERAS A CARGO DE LA TERRITORIAL NARIÑO; MODULO 4; GRUPO 4.,Nariño,,
CO1.PCCNTR.5555685,INTERVENTORIA TECNICA; ADMINISTRATIVA; FINANCIERA Y AMBIENTAL PARA EL MEJORAMIENTO Y MANTENIMIENTO DE LAS VIAS RURALES EN LOS MUNICIPIOS DE SAN ANTONIO DEL TEQUENDAMA; MOSQUERA Y BOJACA DEL DEPARTAMENTO DE CUNDINAMARCA DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL,Cundinamarca,,
CO1.PCCNTR.1295902,PRESTAR SERVICIOS PROFESIONALES PARA DESARROLLAR TEMAS TÉCNICOSEN LA DIRECCIÓN TERRITORIAL ANTIOQUIA PARA EL DESARROLLO DEL PROYECTO DE INFRAESTRUCTURA PARA CONECTAR TERRITORIOS; GOBIERNOS Y POBLACIONES,Antioquia,,
