departamento,modalidad_de_contratacion,contratos,valor
Amazonas,Concurso de méritos abierto,11,8098748651.0
Amazonas,Contratación directa,7,15204709976.0
Amazonas,Licitación pública Obra Publica,5,45139989352.0
Amazonas,Mínima cuantía,3,270724600.0
Amazonas,Selección Abreviada de Menor Cuantía,2,1521818476.0
Antioquia,Concurso de méritos abierto,69,145607026304.92
Antioquia,Contratación Directa (con ofertas),6,271124378122.0
Antioquia,Contratación directa,278,821796711563.1
Antioquia,Licitación pública,8,11329724466.0
Antioquia,Licitación pública Obra Publica,15,1289411610857.0
Antioquia,Mínima cuantía,75,5196643755.77
Antioquia,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,3,7569219838.0
Antioquia,Selección Abreviada de Menor Cuantía,21,12465670164.43
Arauca,Concurso de méritos abierto,7,6041720932.0
Arauca,Contratación directa,38,142076432496.52002
Arauca,Licitación pública Obra Publica,3,6442761363.62
Arauca,Mínima cuantía,8,699805691.0
Arauca,Selección Abreviada de Menor Cuantía,4,1903413706.0
Atlántico,Concurso de méritos abierto,11,21328388761.38
Atlántico,Contratación directa,88,192795035697.5
Atlántico,Licitación pública Obra Publica,3,6294671808.440001
Atlántico,Mínima cuantía,41,2549500976.0
Atlántico,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,1,1131093646.0
Atlántico,Selección Abreviada de Menor Cuantía,9,2492045604.0
Bogotá D.C.,Concurso de méritos abierto,4,6724432824.0
Bogotá D.C.,Contratación directa,2,240950000.0
Bogotá D.C.,Contratación régimen especial (con ofertas),1,0.1
Bogotá D.C.,Licitación pública Obra Publica,2,52596315828.0
Bogotá D.C.,Mínima cuantía,12,844784714.92
Bogotá D.C.,Selección Abreviada de Menor Cuantía,2,2601439857.0
Bolívar,Concurso de méritos abierto,29,43243732555.5
Bolívar,Contratación directa,187,210999562265.31
Bolívar,Licitación pública,2,3093450493.0
Bolívar,Licitación pública Obra Publica,9,184129680438.0
Bolívar,Mínima cuantía,70,4546701948.0
Bolívar,Selección Abreviada de Menor Cuantía,21,11367351374.36
Boyacá,Concurso de méritos abierto,64,126294887439.56
Boyacá,Contratación Directa (con ofertas),1,315036000000.0
Boyacá,Contratación directa,238,162043373799.5
Boyacá,Licitación pública,29,32830435667.0
Boyacá,Licitación pública Obra Publica,55,495070629339.97003
Boyacá,Mínima cuantía,107,9084934651.28
Boyacá,Selección Abreviada de Menor Cuantía,27,12532177252.03
Caldas,Concurso de méritos abierto,24,19349729540.0
Caldas,Contratación Directa (con ofertas),9,7190010715.3
Caldas,Contratación directa,116,628221653100.0
Caldas,Licitación pública,5,7088356362.0
Caldas,Licitación pública Obra Publica,15,20117770959.0
Caldas,Mínima cuantía,59,4433747002.0
Caldas,Selección Abreviada de Menor Cuantía,16,7955103194.0
Caquetá,Concurso de méritos abierto,27,30637384898.0
Caquetá,Contratación Directa (con ofertas),2,4326272253.0
Caquetá,Contratación directa,104,49109582611.66
Caquetá,Licitación pública,11,13959680817.1
Caquetá,Licitación pública Obra Publica,26,66883398353.0
Caquetá,Mínima cuantía,82,5284934708.4
Caquetá,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,3,3409116234.0
Caquetá,Selección Abreviada de Menor Cuantía,13,5670567082.0
Caquetá,Selección abreviada subasta inversa,3,3211107182.0
Casanare,Concurso de méritos abierto,25,26787060743.0
Casanare,Contratación directa,101,108137972792.33
Casanare,Licitación pública,14,18839480989.0
Casanare,Licitación pública Obra Publica,3,9611081080.0
Casanare,Mínima cuantía,61,3451776990.5
Casanare,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,1,1301205663.0
Casanare,Selección Abreviada de Menor Cuantía,14,5187109451.0
Cauca,Concurso de méritos abierto,58,96658368659.0
Cauca,Contratación Directa (con ofertas),1,13026230310.94
Cauca,Contratación directa,209,258547594413.5
Cauca,Licitación pública,43,40090587689.0
Cauca,Licitación pública Obra Publica,47,1591550199945.56
Cauca,Mínima cuantía,74,5846554922.28
Cauca,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,5,5859257285.0
Cauca,Selección Abreviada de Menor Cuantía,27,14005244739.05
Cauca,Selección abreviada subasta inversa,1,252132929.0
Cesar,Concurso de méritos abierto,24,33976750537.0
Cesar,Contratación directa,124,96142787892.84
Cesar,Licitación pública,18,32317323616.0
Cesar,Licitación pública Obra Publica,18,130475835415.0
Cesar,Mínima cuantía,62,3737653684.26
Cesar,Selección Abreviada de Menor Cuantía,20,9911780699.46
Chocó,Concurso de méritos abierto,45,49327880892.619995
Chocó,Contratación directa,105,59622731857.35
Chocó,Licitación pública,10,6051975947.11
Chocó,Licitación pública Obra Publica,29,184714043703.0
Chocó,Mínima cuantía,48,3096262425.8
Chocó,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,3,4033955029.0
Chocó,Selección Abreviada de Menor Cuantía,10,5205149223.0
Cundinamarca,Concurso de méritos abierto,31,31524035077.45
Cundinamarca,Contratación directa,209,122787518845.0
Cundinamarca,Licitación pública,4,12400506082.0
Cundinamarca,Licitación pública Obra Publica,11,88314529807.0
Cundinamarca,Mínima cuantía,101,6748946734.48
Cundinamarca,Selección Abreviada de Menor Cuantía,31,12864327797.0
Córdoba,Concurso de méritos abierto,46,88690919013.9
Córdoba,Contratación directa,239,630357468809.5
Córdoba,Licitación pública,14,43115352786.39
Córdoba,Licitación pública Obra Publica,25,205427622316.0
Córdoba,Mínima cuantía,91,5245652474.19
Córdoba,Selección Abreviada de Menor Cuantía,10,5159727177.0
Córdoba,Selección abreviada subasta inversa,2,936254277.0
Guainía,Concurso de méritos abierto,5,2605483291.0
Guainía,Contratación directa,3,1156307109.0
Guainía,Licitación pública Obra Publica,1,2059857695.0
Guainía,Mínima cuantía,2,216433102.0
