departamento,contratos,valor,valor_mediano,pct_valor,nombre_geojson
Antioquia,475,2564500985071.2197,201746159.0,12.83,ANTIOQUIA
Nariño,482,2148907167643.3,201377599.5,10.75,NARIÑO
Cauca,465,2025836170893.33,201288242.0,10.13,CAUCA
Putumayo,210,1476319925799.32,199505958.5,7.38,PUTUMAYO
Norte de Santander,387,1295424613321.51,199773990.0,6.48,NORTE DE SANTANDER
Boyacá,521,1152892438149.34,243098054.0,5.77,BOYACA
Córdoba,427,978932996853.98,211000000.0,4.9,CORDOBA
Santander,418,973334545103.11,200919311.0,4.87,SANTANDER
Tolima,334,818927598681.66,199491154.0,4.1,TOLIMA
Caldas,244,694356370872.3,135995230.5,3.47,CALDAS
Meta,297,598252130671.25,144403219.94,2.99,META
La Guajira,196,581778642965.61,191059183.0,2.91,LA GUAJIRA
Valle del Cauca,172,527394876636.5,205492949.0,2.64,VALLE DEL CAUCA
Bolívar,318,457380479074.17,198815624.0,2.29,BOLIVAR
Huila,372,434903799986.76,189682096.5,2.18,HUILA
Magdalena,284,322411061342.58,197842480.5,1.61,MAGDALENA
Quindío,159,317009642872.32,87000000.0,1.59,QUINDIO
Chocó,250,312051999077.88,201873201.0,1.56,CHOCO
Cesar,266,306562131844.56,198802555.5,1.53,CESAR
Cundinamarca,387,274639864342.93,199502616.0,1.37,CUNDINAMARCA
Sucre,293,269240568902.62,207234501.0,1.35,SUCRE
Guaviare,57,255967303037.02,201922709.0,1.28,GUAVIARE
Atlántico,153,226590736493.32,130639985.0,1.13,ATLANTICO
Risaralda,198,188031823938.01,109163021.5,0.94,RISARALDA
Caquetá,271,182492044139.16,198949395.0,0.91,CAQUETA
Casanare,219,173315687708.83002,83564894.0,0.87,CASANARE
Arauca,60,157164134189.14,202259906.5,0.79,ARAUCA
San Andrés y Providencia,19,122118958794.34,1618361920.0,0.61,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA
Amazonas,28,70235991055.0,462047423.0,0.35,AMAZONAS
Bogotá D.C.,23,63007923224.02,124859198.24,0.32,SANTAFE DE BOGOTA D.C
Vaupés,14,10085492325.0,431994793.5,0.05,VAUPES
Guainía,13,7561501034.0,349099169.0,0.04,GUAINIA
Vichada,17,5852435479.0,250447343.0,0.03,VICHADA
