departamento,anio,contratos,valor
Amazonas,2018.0,1,138337000.0
Amazonas,2019.0,4,536694446.0
Amazonas,2020.0,8,43019228046.0
Amazonas,2021.0,4,13839750000.0
Amazonas,2022.0,2,1317050502.0
Amazonas,2023.0,4,5970122785.0
Amazonas,2024.0,4,5201433276.0
Amazonas,2025.0,1,213375000.0
Antioquia,2018.0,36,292733506034.0
Antioquia,2019.0,14,13059647016.0
Antioquia,2020.0,72,269842229372.32
Antioquia,2021.0,74,1605865524242.5
Antioquia,2022.0,42,28438682311.07
Antioquia,2023.0,90,121905596220.38
Antioquia,2024.0,78,90384346516.26
Antioquia,2025.0,13,1353967866.77
Antioquia,2026.0,14,46077387000.72
Arauca,2019.0,5,1666745199.62
Arauca,2020.0,10,8546552505.52
Arauca,2021.0,10,100833298642.0
Arauca,2023.0,18,5343702037.0
Arauca,2024.0,12,2080080957.0
Atlántico,2018.0,3,106771398.0
Atlántico,2019.0,11,3765680137.44
Atlántico,2020.0,12,9268537343.880001
Atlántico,2021.0,27,159103564905.0
Atlántico,2022.0,9,12126868378.0
Atlántico,2023.0,44,30650877671.0
Atlántico,2024.0,23,3809674919.0
Atlántico,2025.0,11,2734259802.0
Atlántico,2026.0,2,85426600.0
Bogotá D.C.,2018.0,1,46792323.0
Bogotá D.C.,2019.0,4,183124082.57999998
Bogotá D.C.,2020.0,5,3267396627.0
Bogotá D.C.,2021.0,5,5222942829.0
Bogotá D.C.,2022.0,1,200000000.0
Bogotá D.C.,2024.0,6,54043424899.439995
Bolívar,2018.0,17,6240736383.5
Bolívar,2019.0,7,1391980209.0
Bolívar,2020.0,30,21893278019.08
Bolívar,2021.0,28,156919446216.91
Bolívar,2022.0,29,35272390582.0
Bolívar,2023.0,76,21049283471.66
Bolívar,2024.0,72,43307476120.22
Bolívar,2025.0,18,3092577347.9
Bolívar,2026.0,8,145440066808.0
Boyacá,2017.0,2,35263209.0
Boyacá,2018.0,36,364451327003.94
Boyacá,2019.0,55,22917989385.88
Boyacá,2020.0,70,85335252550.09
Boyacá,2021.0,62,533575171683.16
Boyacá,2022.0,25,12308369841.0
Boyacá,2023.0,120,32867085738.7
Boyacá,2024.0,100,52184654351.57
Boyacá,2025.0,18,35239532330.0
Boyacá,2026.0,8,503844370.0
Caldas,2017.0,2,45803098.0
Caldas,2018.0,19,13498225169.3
Caldas,2019.0,24,14504667944.0
Caldas,2020.0,15,11132043916.0
Caldas,2021.0,23,609025229280.0
Caldas,2022.0,11,3052867568.0
Caldas,2023.0,54,13618993414.0
Caldas,2024.0,47,21047236218.0
Caldas,2025.0,24,5118424369.0
Caldas,2026.0,9,367794000.0
Caquetá,2018.0,13,4983147749.3
Caquetá,2019.0,59,37979085291.2
Caquetá,2020.0,32,28235117856.0
Caquetá,2021.0,12,26739587902.0
Caquetá,2022.0,12,7189445703.33
Caquetá,2023.0,58,36087175229.0
Caquetá,2024.0,57,36317853365.0
Caquetá,2025.0,4,280691967.0
Caquetá,2026.0,9,510867188.0
Casanare,2017.0,1,13682000.0
Casanare,2018.0,13,2410869298.0
Casanare,2019.0,11,3247093938.0
Casanare,2020.0,27,82810554787.5
Casanare,2021.0,20,35538492830.0
Casanare,2022.0,16,11596355232.33
Casanare,2023.0,45,6597899745.0
Casanare,2024.0,51,28319163335.0
Casanare,2025.0,11,789255841.0
Casanare,2026.0,14,594980700.0
Cauca,2018.0,9,16383054406.94
Cauca,2019.0,7,6025373535.2
Cauca,2020.0,28,35704078613.0
Cauca,2021.0,25,42702343398.0
Cauca,2022.0,44,56675642324.05
Cauca,2023.0,147,151262620465.86
Cauca,2024.0,120,120183522666.56
Cauca,2025.0,27,25544391194.5
Cauca,2026.0,12,1495816198368.0
Cesar,2018.0,7,18782766605.4
Cesar,2019.0,5,2295218754.0
Cesar,2020.0,22,103056519173.0
Cesar,2021.0,21,82310564121.84
Cesar,2022.0,21,12072940936.0
Cesar,2023.0,63,40977944178.8
Cesar,2024.0,70,28963811879.72
Cesar,2025.0,12,5078545368.0
Cesar,2026.0,8,3038332721.0
Chocó,2018.0,4,1009044042.0
Chocó,2019.0,12,14731697695.73
Chocó,2020.0,35,57297244647.0
Chocó,2021.0,19,102234702008.35
Chocó,2022.0,17,36323609843.14
Chocó,2023.0,72,15863209945.6
Chocó,2024.0,53,59543870601.06
Chocó,2025.0,14,5513963885.0
Chocó,2026.0,11,13516156942.0
Cundinamarca,2018.0,7,9595973187.0
Cundinamarca,2019.0,8,1331730610.0
Cundinamarca,2020.0,30,42987818681.0
Cundinamarca,2021.0,62,85782054916.0
Cundinamarca,2022.0,23,5064419957.0
Cundinamarca,2023.0,105,95145299692.78
Cundinamarca,2024.0,71,22423655153.59
Cundinamarca,2025.0,15,1899559001.23
Cundinamarca,2026.0,12,718117237.0
Córdoba,2017.0,2,45641989.019999996
Córdoba,2018.0,15,29699490811.27
Córdoba,2019.0,49,29855606492.1
Córdoba,2020.0,44,83373752947.9
Córdoba,2021.0,39,253073873471.5
Córdoba,2022.0,20,29996659554.0
Córdoba,2023.0,69,68889491989.39
Córdoba,2024.0,117,43219127038.0
Córdoba,2025.0,33,9855627833.8
Córdoba,2026.0,9,97443704152.0
Guainía,2019.0,1,199156006.0
Guainía,2020.0,2,546318415.0
Guainía,2022.0,2,1008085854.0
Guainía,2023.0,3,865742045.0
Guainía,2024.0,3,2658956863.0
Guainía,2025.0,1,1934142682.0
Guaviare,2017.0,1,54069820.5
Guaviare,2018.0,1,270349258.0
Guaviare,2019.0,4,196566984.0
Guaviare,2020.0,10,25338579224.0
Guaviare,2021.0,3,220403199856.0
Guaviare,2023.0,17,5729220803.06
Guaviare,2024.0,18,3442370711.0
Guaviare,2025.0,1,119731920.46
Huila,2017.0,3,161276302.97
Huila,2018.0,21,4656818491.98
Huila,2019.0,57,47616863890.880005
Huila,2020.0,28,83916296433.0
Huila,2021.0,51,101731425755.99
Huila,2022.0,37,17683888898.0
Huila,2023.0,79,15651605503.0
Huila,2024.0,60,37869455215.5
Huila,2025.0,15,3338046245.6
Huila,2026.0,5,70600884116.84
La Guajira,2019.0,6,2127788408.0
La Guajira,2020.0,9,5536338267.0
La Guajira,2021.0,13,81288503283.0
La Guajira,2022.0,16,9658338302.33
La Guajira,2023.0,68,54991410922.43
La Guajira,2024.0,54,118132710980.0
La Guajira,2025.0,3,161055262.85
La Guajira,2026.0,5,193154000.0
Magdalena,2018.0,8,1510661996.0
Magdalena,2019.0,22,15556842711.07
Magdalena,2020.0,26,79657804676.0
Magdalena,2021.0,40,83691025818.51
Magdalena,2022.0,14,57623808786.0
Magdalena,2023.0,76,46798374030.5
Magdalena,2024.0,48,19928364512.0
Magdalena,2025.0,17,4166890148.5
Magdalena,2026.0,14,591619113.0
Meta,2017.0,1,13497210.0
Meta,2018.0,17,5179386878.9800005
Meta,2019.0,13,3661847845.58
Meta,2020.0,38,24190601114.4
Meta,2021.0,32,407734323853.09
Meta,2022.0,36,48642836743.92
Meta,2023.0,69,14327186308.57
Meta,2024.0,54,84466953867.24
Meta,2025.0,9,554153057.5
Meta,2026.0,8,379094300.06
Nariño,2018.0,21,9521584522.1
Nariño,2019.0,79,61909573324.2
Nariño,2020.0,50,93053996315.0
Nariño,2021.0,32,241348981083.0
Nariño,2022.0,20,1683529585.8
Nariño,2023.0,123,102662136289.09
Nariño,2024.0,104,97259997001.69
Nariño,2025.0,8,3974473761.75
Nariño,2026.0,23,1500486263430.0
Norte de Santander,2018.0,11,1673433358.87
Norte de Santander,2019.0,46,16511034190.43
Norte de Santander,2020.0,49,167191599128.32
Norte de Santander,2021.0,17,405910167505.63
Norte de Santander,2022.0,24,14468466343.2
Norte de Santander,2023.0,112,37144373595.06
Norte de Santander,2024.0,67,42007832620.0
Norte de Santander,2025.0,15,3306367951.0
Norte de Santander,2026.0,22,597969854303.0
Putumayo,2017.0,1,1397655.0
Putumayo,2018.0,6,4641335542.0
Putumayo,2019.0,32,29559828273.7
Putumayo,2020.0,15,32668994490.0
