anio,trazabilidad,departamento,tipo,modalidad,contratos,valor,nombre_geojson
2017.0,Departamento único,Boyacá,Prestación de servicios,Mínima cuantía,2,35263209.0,BOYACA
2017.0,Departamento único,Caldas,Arrendamiento de inmuebles,Contratación Directa (con ofertas),2,45803098.0,CALDAS
2017.0,Departamento único,Casanare,Prestación de servicios,Mínima cuantía,1,13682000.0,CASANARE
2017.0,Departamento único,Córdoba,Obra,Mínima cuantía,1,19292839.02,CORDOBA
2017.0,Departamento único,Córdoba,Prestación de servicios,Mínima cuantía,1,26349150.0,CORDOBA
2017.0,Departamento único,Guaviare,Obra,Mínima cuantía,1,54069820.5,GUAVIARE
2017.0,Departamento único,Huila,Obra,Mínima cuantía,1,66886034.0,HUILA
2017.0,Departamento único,Huila,Prestación de servicios,Mínima cuantía,2,94390268.97,HUILA
2017.0,Departamento único,Meta,Obra,Mínima cuantía,1,13497210.0,META
2017.0,Departamento único,Putumayo,Prestación de servicios,Mínima cuantía,1,1397655.0,PUTUMAYO
2017.0,Departamento único,Quindío,Prestación de servicios,Mínima cuantía,2,68520449.0,QUINDIO
2017.0,Departamento único,Risaralda,Prestación de servicios,Mínima cuantía,1,25200001.0,RISARALDA
2017.0,Departamento único,Santander,Obra,Mínima cuantía,2,72447580.56,SANTANDER
2017.0,Departamento único,Sucre,Consultoría,Mínima cuantía,1,50380554.0,SUCRE
2017.0,Departamento único,Sucre,Obra,Mínima cuantía,1,44903207.0,SUCRE
2017.0,Departamento único,Sucre,Prestación de servicios,Mínima cuantía,1,55155560.0,SUCRE
2017.0,Departamento único,Sucre,Suministros,Mínima cuantía,1,22137570.0,SUCRE
2017.0,No territorializable,,Compraventa,Mínima cuantía,1,7840368.0,
2017.0,No territorializable,,Interventoría,Mínima cuantía,1,90892200.0,
2017.0,No territorializable,,Obra,Mínima cuantía,1,82064750.0,
2017.0,No territorializable,,Prestación de servicios,Contratación directa,1,8400000.0,
2017.0,No territorializable,,Prestación de servicios,Mínima cuantía,5,195772407.0,
2017.0,No territorializable,,Suministros,Mínima cuantía,16,1366574572.43,
2018.0,Departamento único,Amazonas,Consultoría,Concurso de méritos abierto,1,138337000.0,AMAZONAS
2018.0,Departamento único,Antioquia,Interventoría,Concurso de méritos abierto,17,20721313382.0,ANTIOQUIA
2018.0,Departamento único,Antioquia,Interventoría,Mínima cuantía,2,39554469.0,ANTIOQUIA
2018.0,Departamento único,Antioquia,Obra,Contratación Directa (con ofertas),1,2810163157.0,ANTIOQUIA
2018.0,Departamento único,Antioquia,Obra,Mínima cuantía,5,353467803.0,ANTIOQUIA
2018.0,Departamento único,Antioquia,Obra,Selección Abreviada de Menor Cuantía,5,2556288015.0,ANTIOQUIA
2018.0,Departamento único,Antioquia,Otro,Contratación Directa (con ofertas),4,266224051808.0,ANTIOQUIA
2018.0,Departamento único,Antioquia,Prestación de servicios,Contratación directa,2,28667400.0,ANTIOQUIA
2018.0,Departamento único,Atlántico,Obra,Mínima cuantía,1,25000000.0,ATLANTICO
2018.0,Departamento único,Atlántico,Obra,Selección Abreviada de Menor Cuantía,1,79991158.0,ATLANTICO
2018.0,Departamento único,Atlántico,Prestación de servicios,Mínima cuantía,1,1780240.0,ATLANTICO
2018.0,Departamento único,Bogotá D.C.,Prestación de servicios,Mínima cuantía,1,46792323.0,SANTAFE DE BOGOTA D.C
2018.0,Departamento único,Bolívar,Arrendamiento de inmuebles,Contratación directa,1,5200000.0,BOLIVAR
2018.0,Departamento único,Bolívar,Consultoría,Concurso de méritos abierto,1,161970900.0,BOLIVAR
2018.0,Departamento único,Bolívar,Consultoría,Mínima cuantía,1,47759460.0,BOLIVAR
2018.0,Departamento único,Bolívar,Interventoría,Concurso de méritos abierto,2,4732960988.5,BOLIVAR
